,index,Unnamed: 0,FullDesign,NFE,TargetRatio Objective,StiffnessObjective,FeasibilityScore,StabilityScore
0,531,3439,101000001010000001000100001010000111,1946,0.15,-0.7843137254901962,0.4000000000000001,0.6000000000000001
1,3885,18108,101000001010000001000100001000100101,6120,0.1910195140786865,-0.7657684330595228,1.0,0.9
2,5908,28728,100000001111000000000100001000100101,1828,0.1928604960063716,-0.7531185803094717,1.0,1.0
3,9512,55933,100110001000000000000101001000001101,8162,0.19101951407868653,-0.7385423381771918,1.0,0.6000000000000001
4,6006,29322,101000001000000011000100011000000101,9894,0.1910195140786865,-0.7385423381771918,1.0,0.8
5,4000,18381,101100001000000001000100001000100101,4174,0.1910195140786865,-0.7385423381771918,1.0,0.8
6,2817,13669,100010001000000000000101001001001101,7104,0.1910195140786866,-0.7385423381771916,1.0,0.8
7,10597,63946,100000001000000010000101001000101101,5582,0.2,-0.7385423381771916,1.0,0.8
8,4763,21245,100000001000000110000101001000101101,1690,0.19238690070026346,-0.7309069093825574,1.0,0.8
9,12214,77826,101010001000000001000100011001000101,3926,0.19238690070026346,-0.7309069093825573,1.0,0.8
10,27639,482523,100000001101000000000100011001000101,1470,0.1928604960063716,-0.7281198453903827,1.0,1.0
11,193,1266,111000001000000001000101001010101101,1229,0.11279207983420896,-0.7235017178618349,0.4000000000000001,0.9
12,4529,20241,100000001000000010000101001100101101,5436,0.1823679512469943,-0.7222718081210647,1.0,0.8
13,4529,20241,100000001000000010000101001100101101,5436,0.1823679512469943,-0.7222718081210647,1.0,0.8
14,2760,13535,101000001000000011000100001001000101,5776,0.183981137949148,-0.7086367016989535,1.0,0.8
15,1934,9574,101000001010000001000100001010000101,2956,0.13333333333333336,-0.7058823529411764,1.0,0.6000000000000001
16,2626,13219,101100001000000001000100001010000101,7520,0.1703380308575441,-0.7039057180599009,1.0,0.8
17,2059,10051,100000001010000000000101101000001101,1760,0.2,-0.7039057180599009,1.0,0.8
18,3070,14444,101000001000000001000100101010000101,4490,0.17033803085754412,-0.7039057180599009,1.0,0.8
19,3070,14444,101000001000000001000100101010000101,4490,0.17033803085754412,-0.7039057180599009,1.0,0.8
20,1844,9304,100000001110000000000101001000001101,7124,0.1703380308575441,-0.7039057180599009,1.0,0.8
21,3947,18253,101000001010000001000100001000010101,9106,0.1703380308575441,-0.7039057180599008,1.0,0.8
22,5579,26384,101010001000000001000100101010000101,9908,0.17550246814576506,-0.7016466066105526,1.0,1.0
23,1887,9429,101000001010000011000100011000000101,3710,0.19129451375359136,-0.7016466066105526,1.0,1.0
24,601,4300,101000001000000011000111001000001101,256,0.1,-0.7016262758990492,0.4000000000000001,0.6000000000000001
25,633,4438,101000001000000011000101001000001111,474,0.1,-0.7016262758990491,0.6000000000000001,0.6000000000000001
26,144,793,101000001000000001000101001001001111,582,0.10000000000000002,-0.7016262758990489,0.6000000000000001,0.6000000000000001
27,15766,118407,100110001000000000000001001100101101,6572,0.18251348052915087,-0.7008379948304523,1.0,0.8
28,3863,18070,101110001000000001000100001000110101,5212,0.17476233727789792,-0.6998274766542788,1.0,1.0
29,73,451,111000001000000111000101001100001101,491,0.10487736324448617,-0.6947297072052337,0.6000000000000001,0.8
30,14085,99068,100110001000000000000100101010010101,4654,0.16983154511509407,-0.6942650518411632,1.0,1.0
31,4753,21214,100000001000000110000100101010010101,6672,0.16983154511509407,-0.6942650518411629,1.0,1.0
32,2725,13439,100000001100000100000101001010001101,4350,0.1697549285595427,-0.6900393500026889,1.0,0.9
33,29425,529968,100000001100000010000100001000010101,3310,0.2,-0.6891605148551819,1.0,1.0
34,24179,359056,100000001101000000000100001001000101,1052,0.2,-0.6891605148551818,1.0,1.0
35,7089,36158,101000001000000101000100001100010101,9772,0.17550246814576506,-0.6794006998092108,1.0,1.0
36,21422,322935,101010001000000001000000000100100101,4100,0.19036378471040885,-0.6791940324853782,1.0,0.7000000000000001
37,173,1065,101000001010000101000101001001001111,1110,0.09563975898269524,-0.6783742529741424,0.4000000000000001,1.0
38,3870,18085,101110001000000001000100001100110101,4738,0.1652759274112931,-0.6773857675018667,1.0,1.0
39,6677,33676,101000001000000101000100011010000101,3140,0.2894484837241369,-0.6769894541240578,0.8,1.0
40,1965,9678,100000001010000100000101011000001101,7188,0.2894484837241369,-0.6769894541240578,0.8,1.0
41,4795,21391,100000001100000000000101001100001101,8734,0.17033803085754412,-0.6769796195884006,1.0,1.0
42,5093,22965,100000001000000010000101101000001101,3026,0.2,-0.6769796195884005,1.0,1.0
43,164,966,101000001010000001000101001001001111,1172,0.08035221020822547,-0.6718067281450573,0.6000000000000001,0.8
44,15556,115030,101110001000000001000100101001000101,4516,0.16046332024442048,-0.670496082958724,1.0,1.0
45,5380,24832,101000001000000001000100011010000101,2684,0.2879295270867429,-0.6688584200514665,0.8,0.8
46,3122,14623,101000001000000001000100001010100101,4722,0.2879295270867429,-0.6688584200514665,0.8,0.9
47,4509,20176,101000001100000111000100001000000101,9078,0.2,-0.6681614545995138,1.0,0.9
48,11641,73228,100010001001000000000101001001001101,6584,0.1697549285595427,-0.6681614545995137,1.0,1.0
49,24137,358555,100000001101000000000100101001000101,940,0.18179382091486368,-0.6661957170797334,1.0,1.0
50,13739,94963,101000001000000111000100001101000101,5004,0.17879703427538585,-0.6647397860698285,1.0,0.8
51,25518,402866,100100001000000010000101011001001101,1672,0.17879703427538582,-0.6647397860698284,1.0,0.8
52,25518,402866,100100001000000010000101011001001101,1672,0.17879703427538582,-0.6647397860698284,1.0,0.8
53,10987,68064,100000001100000110000101001100101101,3626,0.16124848657915092,-0.6644710401582256,1.0,1.0
54,10391,62181,101110001001000001000100011001000101,8868,0.178062528543866,-0.6644710401582252,1.0,1.0
55,5785,28082,100000001110000000000100001000100101,6594,0.2,-0.6627828102932962,1.0,1.0
56,3742,17452,101100001000000001000100111001000101,5224,0.15498489750714928,-0.6603546354445654,1.0,1.0
57,3852,18051,101000001000000011000100001100110101,5888,0.15498489750714928,-0.6603546354445653,1.0,1.0
58,9837,57972,100110001001000000000101001001001101,9096,0.15498489750714928,-0.6603546354445652,1.0,1.0
59,3638,16948,100000001000000010000101001101001101,5348,0.17474128165562847,-0.6599206222982574,1.0,0.8
60,9199,52967,100000001000000100000101001101001101,5428,0.1910195140786866,-0.6585961494525038,1.0,0.8
61,3890,18125,101110001000000001000101001000101101,8948,0.10569156656788713,-0.6562916688509228,1.0,0.8
62,4946,22166,100000001001000100000100101010000101,3346,0.289770509014428,-0.6562085673014154,0.8,1.0
63,11171,69756,100000001010000010000101011001001101,4452,0.17609440242265414,-0.6554677899716421,1.0,1.0
64,2283,11257,101010001000000001000101001010001101,1750,0.08912586197027975,-0.6550570904780124,1.0,0.8
65,9672,56969,100000001000000100000101011100001101,5656,0.28944848372413706,-0.6539049382980378,0.8,0.8
66,28637,511069,101000001101000001000100011001000101,938,0.1916732365885102,-0.6534852457194129,1.0,1.0
67,26520,448930,101000001000000111000100101000010101,1958,0.14746639251362273,-0.6534852457194129,1.0,1.0
68,5778,28028,100000001111000000000100001010000101,8568,0.13333333333333333,-0.6518789338555221,1.0,0.4000000000000001
69,7795,40455,101100001000000011000100001000000101,2204,0.2,-0.651878933855522,1.0,0.6000000000000001
70,71,446,111000001000000111000101001101001101,339,0.1032362608138809,-0.6517592276156504,0.6000000000000001,0.8
