,Full Design,NFE,TargetRatioObjective,StiffnessObjective,FeasibilityScore,StabilityScore
33917,1.01E+35,2892,0.597940009,-0.382098582,0.4,0.8
33920,1.01E+35,6712,0.32993641,-0.411673598,0.6,1
33921,1.01E+35,5902,0.086075156,-0.595949535,1,1
33922,1.00E+33,2904,0.278380649,-0.294642525,0.8,0.7
33928,1.00E+35,6458,0.296710013,0.096896475,0.8,0.8
33931,1.01E+35,4804,0.127713289,-0.433947925,0.8,1
33935,1.01E+35,4040,0.324514346,-0.413775753,0.6,1
33939,1.00E+33,3008,0.467995739,-0.013989453,0.4,1
33944,1.01E+35,2880,0.396904671,-0.42720596,0.6,1
33945,1.00E+33,7726,0.396516994,-0.151315873,1,0.7
33958,1.00E+35,4590,0.2,-0.67697962,1,0.8
33959,1.01E+35,3246,0.289296914,-0.633996896,0.8,0.8
33966,1.01E+35,6370,0.068168797,-0.534205769,1,1
33967,1.01E+35,9704,0.368830859,-0.428396235,0.6,0.9
33977,1.01E+35,2690,0.569529346,-0.249565962,0.4,1
33980,1.00E+35,5072,0.1998,-2.02E-05,1,0.4
33982,1.01E+35,8020,0.335627841,-0.428396235,0.6,0.8
33989,1.01E+35,7550,0.39560316,-0.544618998,0.6,0.9
34000,1.01E+35,2970,0.42184875,-0.455957931,0.6,0.5
34009,1.01E+35,9608,0.576311054,0.035849634,0.6,0.9
34014,1.01E+35,4280,0.531233289,-0.170984336,0.4,1
34020,1.01E+35,6824,0.497977361,-0.203557136,0.4,0.9
34021,1.01E+35,9960,0.1448949,-0.59997262,1,1
34025,1.01E+35,9680,0.2,-0.27963887,1,0.4
34028,1.01E+35,3600,0.2,-0.499869938,1,0.6
34030,1.00E+33,2978,0.276967652,-0.100065144,0.6,1
34033,1.00E+35,3098,0.296710013,0.09689563,0.8,0.6
34034,1.01E+35,7306,0.253538153,-0.490535155,0.8,0.9
34047,1.01E+35,3042,0.101872706,-0.595390462,1,0.8
34051,1.01E+35,3682,0.563541849,-0.144229839,0.4,0.8
34081,1.00E+35,3136,0.2,-0.66278281,1,1
34089,1.01E+35,8036,0.552924906,-0.2197525,0.4,1
34110,1.01E+35,9990,0.224278214,-0.490535155,0.8,0.8
34111,1.01E+35,3902,0.264693525,-0.553509927,0.8,1
34116,1.01E+35,7946,0.374228158,-0.207370695,1,0.8
34120,1.01E+35,7776,0.457578242,-0.156080417,0.4,0.7
34124,1.01E+35,3222,0.050856485,-0.42082377,1,1
34129,1.01E+35,2882,0.307957673,-0.277884987,0.6,1
34132,1.01E+35,2662,0.546679129,-0.275460748,0.4,1
34137,1.01E+35,8960,0.2935952,-0.176440173,0.8,0.8
34139,1.01E+35,6450,0.22184875,-0.285711563,0.6,1
34143,1.01E+35,5824,0.451592128,-0.154175659,0.4,0.9
34147,1.01E+35,6664,0.17516274,-0.237967812,0.8,0.8
34153,1.01E+35,4408,0.565723521,-0.252479931,0.4,0.9
34166,1.01E+35,8052,0.241973685,-0.275718235,0.6,0.9
34168,1.01E+35,9884,0.170421245,-0.656532461,1,1
34169,1.00E+35,8092,0.597740009,0.397927593,0.4,1
34172,1.01E+35,6436,0.450980937,-0.119755515,0.4,1
34174,1.01E+35,3702,0.296710013,0.096899039,0.8,0.8
34175,1.01E+35,9120,0.306512973,-0.378004505,0.6,1
34179,1.01E+35,6552,0.171398502,-0.642724966,1,0.8
34183,1.01E+35,5402,0.103418304,-0.352124946,1,0.8
34202,1.01E+35,8844,0.365862603,-0.42857119,0.6,0.8
34209,1.01E+35,2644,0.416241873,-0.082070787,0.4,1
34213,1.00E+33,5314,0.597740009,0.397928168,0.4,0.8
34217,1.01E+35,8516,0.387617445,-0.447473789,0.6,1
34223,1.01E+35,7164,0.292248421,-0.326949013,0.6,1
34247,1.11E+35,3646,0.317488509,-0.456525503,0.6,0.9
34248,1.01E+35,7102,0.169736284,-0.49459756,0.8,1
34261,1.00E+33,7764,0.181534219,-0.170701715,0.8,0.7
34264,1.01E+35,5090,0.288204527,-0.582490687,0.8,1
34274,1.01E+35,3912,0.369251533,-0.49857558,0.6,1
34276,1.00E+35,4348,0.296710013,0.096895948,0.8,1
34281,1.01E+35,9036,0.35894242,-0.287447116,0.6,0.9
34284,1.01E+35,4380,0.129453643,-0.447200872,0.8,1
34285,1.00E+33,8102,0.315515402,-0.125716068,1,0.8
34289,1.01E+35,2696,0.41469163,-0.456244684,0.6,1
34294,1.01E+35,2708,0.566486749,-0.179481666,0.4,1
34297,1.00E+33,7232,0.628269237,-0.095385517,0.8,0.7
34302,1.01E+35,2920,0.222541285,-0.258212492,0.6,1
34304,1.01E+35,6450,0.365783686,-0.387249475,0.6,1
34309,1.01E+35,6150,0.42164875,0.221838565,0.6,0.9
34311,1.01E+35,9616,0.276967652,-0.139141882,0.6,0.9
34315,1.01E+35,2626,0.585619087,-0.294875027,0.4,1
34323,1.01E+35,5562,0.414576795,-0.496788131,0.6,1
34332,1.00E+35,2984,0.42164875,0.221832838,0.6,0.4
34341,1.01E+35,4164,0.224278214,-0.490535155,0.8,0.8
34356,1.01E+35,3428,0.165245999,-0.445922191,0.8,0.9
34363,1.01E+35,2684,0.414576795,-0.496788131,0.6,1
34367,1.00E+35,3064,0.296710013,0.096895948,0.8,0.8
34368,1.01E+35,9624,0.238059946,-0.254160975,0.6,0.8
34380,1.01E+35,4060,0.561804591,-0.316757023,0.4,0.9
34385,1.01E+35,9100,0.282080928,-0.603156161,0.8,1
34403,1.01E+35,3078,0.285734227,-0.327279395,0.6,0.8
34406,1.01E+35,2724,0.289389509,-0.593292422,0.8,1
34407,1.00E+33,5450,0.156373828,-0.283933864,0.8,0.8
34428,1.01E+35,7766,0.157919422,-0.568545169,1,1
34436,1.01E+35,8430,0.400671176,-0.467946296,0.6,1
34448,1.00E+33,3164,0.539361365,0.106412143,0.4,0.8
34453,1.01E+35,5852,0.235186636,-0.553334972,0.8,1
34461,1.01E+35,8780,0.520996146,-0.333454255,0.4,1
34469,1.01E+35,8888,0.185712816,-0.472945428,0.8,0.9
34472,1.01E+35,9584,0.414434207,-0.478217425,0.6,1
34490,1.01E+35,4512,0.424599762,-0.045822905,0.4,0.7
34503,1.01E+35,7498,0.22184875,-0.221635288,0.6,0.8
34509,1.00E+35,6320,0.296710013,0.096898389,0.8,1
34512,1.01E+35,4082,0.292393635,-0.33938088,0.6,1
34520,1.00E+33,2994,0.2,-0.343009046,1,0.4
34522,1.01E+35,2950,0.296710013,0.096899226,0.8,0.9
34532,1.01E+35,2956,0.438911722,-0.046523436,0.4,1
34536,1.01E+35,7392,0.169839489,-0.646486232,1,1
34538,1.01E+35,3178,0.482547414,-0.238733359,0.4,1
34545,1.01E+35,7438,0.21258014,-0.395129256,0.8,1
34549,1.01E+35,9940,0.228535844,-0.555935485,0.8,1
34551,1.01E+35,3126,0.385943622,-0.381170103,0.6,1
34558,1.01E+35,9104,0.597740009,0.397929035,0.4,0.9
34559,1.01E+35,9448,0.22184875,-0.285711563,0.6,1
34578,1.01E+35,3450,0.173128209,-0.450970112,0.8,0.9
34583,1.01E+35,3864,0.285240368,-0.331121222,0.6,1
34587,1.01E+35,8528,0.221631373,-0.45944876,0.8,0.8
34601,1.01E+35,3330,0.095025831,-0.57005777,1,1
34606,1.01E+35,3418,0.032553524,-0.466760353,1,0.8
34615,1.01E+35,6314,0.384340279,-0.141115739,0.8,0.8
34616,1.01E+35,3938,0.457578242,-0.172675419,0.4,0.8
34617,1.01E+35,2980,0.542791279,-0.209882102,0.4,1
34632,1.01E+35,4560,0.520260953,-0.325204433,0.4,1
34639,1.00E+27,8168,0.139589088,-0.366219561,1,0.9
34641,1.01E+35,3206,0.241804913,-0.503062607,0.8,1
34643,1.00E+35,4358,0.139504287,-0.329337796,1,0.8
34647,1.01E+35,3134,0.149259116,-0.41190811,0.8,1
34648,1.01E+35,8836,0.521896792,-0.285446632,0.4,1
34656,1.00E+33,3058,0.57914826,-0.111245443,0.4,1
34663,1.01E+35,3684,0.27167235,-0.622390205,0.8,1
34667,1.01E+35,6690,0.244426188,-0.530623813,0.8,1
34670,1.01E+35,3338,0.232820643,-0.275610778,0.6,1
34679,1.01E+35,9016,0.27085308,-0.333219473,0.6,1
34707,1.00E+33,2974,0.476092718,-0.087556972,0.8,1
34708,1.01E+35,2980,0.348185794,-0.307645362,0.6,1
34713,1.00E+35,4706,0.174741282,-0.659920622,1,0.8
34727,1.01E+35,6502,0.170668232,-0.639979817,1,1
34728,1.01E+35,6408,0.245372779,-0.302649284,0.6,0.9
34739,1.01E+35,7944,0.506680269,-0.134514146,0.4,1
34742,1.01E+35,8368,0.545699234,0.13779748,0.4,0.8
34755,1.01E+35,6390,0.159297958,-0.313043378,0.8,1
34771,1.00E+33,2914,0.560539198,0.133021208,0.4,1
34786,1.00E+33,5400,0.1731107,-0.269252325,1,0.8
34801,1.01E+35,9336,0.184077739,-0.160293689,0.8,0.7
34805,1.01E+35,6574,0.335627841,-0.384011765,0.6,0.8
34807,1.01E+35,9338,0.536348742,-0.303382093,0.4,0.9
34809,1.01E+35,7404,0.245854816,-0.494178615,0.8,1
34810,1.01E+35,6846,0.113121209,-0.379099712,0.8,0.8
34818,1.01E+35,3254,0.138347811,-0.437295756,0.8,1
34826,1.01E+35,3732,0.397940009,-0.134541176,0.4,0.9
34828,1.00E+33,2904,0.407654457,-0.214623918,0.6,0.7
34831,1.01E+35,5540,0.255854163,-0.31366684,0.6,0.9
34832,1.01E+35,7360,0.394332693,-0.512009215,0.6,1
34834,1.01E+35,6416,0.147759225,-0.360747329,1,0.7
34846,1.01E+35,8600,0.460180685,0.058588739,0.4,0.9
34855,1.01E+35,6060,0.158594001,-0.528513694,1,0.9
34864,1.00E+33,9992,0.304998567,-0.133792896,0.6,0.8
34867,1.00E+33,9400,0.1998,-1.62E-05,1,0.7
34874,1.01E+35,7338,0.226960557,-0.25122584,0.6,1
34891,1.01E+35,3610,0.272535041,-0.621898549,0.8,1
34893,1.11E+35,7706,0.419019106,0.067346296,0.4,0.9
34899,1.01E+35,8696,0.39807909,-0.42857119,0.6,0.9
34904,1.01E+35,8002,0.11344465,-0.512738255,1,1
34908,1.01E+35,6754,0.307923906,-0.374100786,0.6,0.9
34909,1.01E+35,4056,0.377282677,-0.382865403,0.6,1
34911,1.01E+35,3326,0.255504014,-0.450394432,0.8,0.7
34929,1.01E+35,9688,0.275500869,-0.345047928,0.6,1
34932,1.01E+35,4274,0.42164875,0.221835418,0.6,0.5
34935,1.11E+35,8732,0.490583799,-0.239076474,0.4,0.9
34943,1.01E+35,3032,0.279251472,-0.282872908,0.6,1
34944,1.00E+35,3388,0.224278214,-0.490535155,0.8,0.9
34945,1.01E+35,6544,0.17516274,-0.237967812,0.8,0.8
34946,1.01E+35,4524,0.336739363,-0.456525503,0.6,1
34949,1.01E+35,6558,0.293335219,-0.346052761,0.6,1
34956,1.01E+35,6844,0.18763932,-0.5869596,1,0.7
34957,1.01E+35,8964,0.501004063,-0.167120542,0.4,1
34962,1.01E+35,4738,0.1998,-1.55E-05,1,0.5
34970,1.01E+35,3572,0.545342792,-0.275921627,0.4,1
34973,1.01E+35,8316,0.06059794,-0.561578429,1,0.8
34977,1.01E+35,3832,0.373061517,-0.062727316,0.6,0.9
34981,1.01E+35,6358,0.053950429,-0.557110902,1,0.8
34990,1.00E+35,3246,0.1998,-1.59E-05,1,0.6
34994,1.01E+35,3184,0.170690567,-0.622279737,1,1
35006,1.00E+33,4794,0.411289037,-0.132275122,0.8,1
35013,1.01E+35,9414,0.228535844,-0.555935485,0.8,1
35023,1.00E+33,7728,0.2,-0.249934969,1,0.6
35024,1.01E+35,3952,0.42164875,0.221836739,0.6,0.8
35025,1.00E+33,7986,0.282842712,-0.129210386,1,0.6
35041,1.01E+35,5826,0.123569766,-0.380379694,0.8,0.8
35043,1.00E+33,7416,0.313838108,-0.101102897,0.6,0.9
35047,1.01E+35,6746,0.47605956,-0.098451639,0.4,1
35055,1.01E+35,4256,0.323082674,-0.082779486,0.6,1
35056,1.01E+35,7282,0.591441691,-0.364176496,0.4,1
35062,1.01E+35,3692,0.487362907,-0.177831576,0.4,0.9
35065,1.01E+35,5102,0.472367484,-0.188379144,0.4,1
35074,1.01E+35,4346,0.401234984,-0.075769952,0.4,1
35086,1.01E+35,4254,0.260716939,-0.233725419,0.6,1
35100,1.00E+35,4288,0.2,-0.487641975,1,0.9
35102,1.01E+35,7636,0.186035875,-0.478640652,0.8,0.7
35107,1.00E+35,5680,0.126496991,-0.239998188,0.8,1
35110,1.00E+33,2970,0.228269237,-0.132957665,0.8,0.7
35127,1.01E+35,5952,0.11749969,-0.399481635,0.8,1
35129,1.01E+35,8586,0.286899062,-0.348006692,0.6,0.8
35135,1.01E+35,3168,0.38482253,-0.424295892,0.6,0.8
35138,1.10E+34,3044,0.296710013,0.096894102,0.8,0.6
35141,1.00E+35,3580,0.560913789,-0.248204633,0.4,1
35157,1.01E+35,6498,4.44E-17,-0.451871121,1,0.5
35169,1.00E+35,4414,0.368830859,-0.428396235,0.6,0.8
35184,1.01E+35,4262,0.397940009,-0.036645947,0.4,0.8
35185,1.01E+35,5052,0.398596266,-0.067670453,0.4,0.8
35186,1.01E+35,4064,0.287763217,-0.353922835,0.6,1
35189,1.01E+35,6312,0.494799417,-0.167999735,0.4,0.8
35196,1.01E+35,4498,0.097628698,-0.410339404,0.8,0.9
35199,1.01E+35,8830,0.209270693,-0.361050138,0.8,1
35201,1.00E+33,6776,0.152120935,-0.226699459,0.8,0.9
35204,1.01E+35,3152,0.512830622,-0.280434244,0.4,1
35208,1.01E+35,5090,0.255854163,-0.31366684,0.6,0.9
35209,1.01E+35,6526,0.1998,-1.04E-05,1,0.7
35227,1.10E+33,3928,4.44E-17,-0.28257696,1,0.8
35228,1.01E+35,4284,0.33101252,-0.291980567,0.6,1
35243,1.00E+33,9422,0.1998,-3.00E-05,1,1.11E-16
35253,1.01E+35,5854,0.1998,-1.62E-05,1,0.5
35254,1.01E+35,3180,0.082842712,-0.249934969,1,0.4
35256,1.01E+35,5784,0.397940009,-0.036645947,0.4,0.8
35259,1.01E+35,7192,0.358175578,-0.408484489,0.6,0.8
35269,1.01E+35,6718,0.472367484,-0.188379144,0.4,1
35298,1.00E+33,3146,0.042482395,-0.340292019,1,0.8
35300,1.01E+35,7966,0.253470141,-0.492530116,0.8,0.8
35318,1.00E+33,5120,0.343707942,-0.088680667,0.6,0.9
35319,1.01E+35,3878,0.287929527,-0.641632325,0.8,0.6
35320,1.01E+35,4716,0.044104875,-0.4642682,1,0.9
35321,1.01E+35,9122,0.096910013,-0.346574025,0.8,0.8
35322,1.00E+35,7750,0.1998,-1.41E-05,1,0.9
35323,1.01E+35,2986,0.117647723,-0.348644206,0.8,1
35325,1.01E+35,2812,0.377138194,-0.409121068,0.6,1
35326,1.01E+35,3012,0.095325512,-0.573104032,1,1
35335,1.11E+35,3868,0.588959523,-0.30524554,0.4,0.7
35337,1.00E+35,2998,0.214846992,-0.483194766,0.8,1
35343,1.01E+35,2808,0.555231083,-0.025309313,0.4,1
35344,1.01E+35,2976,0.488554638,-0.206456246,0.4,0.9
35345,1.00E+35,9588,0.374962602,-0.444007476,0.6,1
35346,1.01E+33,8162,0.226865129,-0.170984659,0.6,0.7
35361,1.01E+35,7494,0.126888637,-0.410339404,0.8,0.9
35369,1.01E+35,5266,0.1998,-1.62E-05,1,0.5
35375,1.01E+35,3444,0.158578644,-0.252034597,1,0.6
35380,1.01E+35,7316,0.443899443,0.01767897,0.4,1
35384,1.01E+35,9386,0.296710013,0.096893795,0.8,0.5
35385,1.01E+35,7394,0.41778556,-0.070320318,0.4,1
35386,1.01E+35,2998,0.249999646,-0.244800717,0.6,0.6
35397,1.01E+35,9472,0.164826674,-0.427514686,1,0.8
35401,1.01E+35,9116,0.323895279,-0.396966449,0.6,1
35402,1.01E+35,4888,0,-0.441382614,1,1
35414,1.01E+35,7334,0.144463985,-0.440924126,0.8,1
35416,1.01E+35,7490,0.046753456,-0.52357854,1,1
35420,1.01E+35,6226,0.268308515,-0.545814953,0.8,0.8
35442,1.10E+33,7940,0.180178728,-0.403961667,1,0.8
35448,1.01E+35,2896,0.364989882,-0.345995735,0.6,1
35457,1.01E+35,4708,0.375945955,-0.405022153,0.6,1
35459,1.01E+35,7546,0.343067069,-0.280501932,0.6,1
35468,1.01E+35,3140,0.341672329,-0.402163492,0.6,1
35480,1.01E+35,3874,0.134070303,-0.357248173,0.8,1
35487,1.01E+35,3472,0.181700733,-0.407130222,0.8,0.8
35488,1.01E+35,9374,0.275221149,-0.638877886,0.8,0.8
35500,1.01E+35,3232,0.355498267,-0.387751886,0.6,1
35511,1.00E+33,2854,0.445770605,-0.045822905,0.4,0.6
35521,1.01E+35,7176,0.271722884,-0.571359541,0.8,0.8
35532,1.01E+35,5888,0.288515416,-0.346759442,0.6,0.5
35534,1.01E+35,3970,0.165685425,-0.603396392,1,0.6
35537,1.01E+35,7166,0.22184875,-0.243505574,0.6,1
35545,1.01E+35,7632,0.184529133,-0.648979418,1,1
35549,1.01E+35,5580,0.154960885,-0.438605576,0.8,1
35550,1.00E+35,3678,0.221631373,-0.45944876,0.8,0.8
35553,1.01E+35,3216,0.226862542,-0.452586039,0.8,1
35554,1.01E+35,2774,0.572842123,-0.22923876,0.4,1
35560,1.01E+35,7270,0.421464038,-0.104975953,0.4,0.7
35567,1.00E+33,8348,0.122270077,-0.167073807,0.8,1
35579,1.01E+35,5378,0.436897911,-0.087872112,0.4,1
35580,1.01E+35,8698,0.105691567,-0.656291669,1,0.8
35581,1.01E+35,3610,0.42184875,-0.558189841,0.6,0.8
35591,1.10E+35,4742,0.402287083,-0.510607574,0.6,0.8
35600,1.00E+33,6242,0.042482395,-0.340292019,1,0.8
35601,1.01E+35,7412,0.582117769,-0.340368021,0.4,1
35603,1.01E+35,4382,0.397940009,-0.098816805,0.4,1
35604,1.01E+35,6926,0.171398502,-0.642724966,1,1
35610,1.00E+35,9014,0.296710013,0.096895389,0.8,1
35623,1.01E+35,4080,0.132174549,-0.334306205,0.8,1
35638,1.01E+35,4664,0.471261356,-0.016880628,0.4,0.9
35660,1.01E+35,3002,0.597940009,-0.457674965,0.4,0.6
35661,1.00E+33,2902,0.283310044,-0.401706505,0.8,0.8
35670,1.01E+35,4086,0.085400267,-0.589640671,1,1
35690,1.00E+35,4652,0.117157288,-0.311941467,1,0.6
35693,1.01E+35,8624,0.398359767,-0.504999156,0.6,0.8
35694,1.01E+35,9872,0.144740609,-0.419386481,0.8,0.8
35700,1.01E+35,3142,0.541122622,-0.277695228,0.4,1
35702,1.11E+35,6462,0.571694419,-0.368527739,0.4,0.8
35710,1.01E+35,4700,0.479574152,-0.206456246,0.4,0.9
35718,1.00E+33,4810,0.437302881,-0.079911532,0.4,1
35729,1.11E+35,6482,0.493579768,-0.280434244,0.4,1
35730,1.01E+35,3276,0.101872706,-0.595390462,1,1
35734,1.01E+35,9856,0.114530371,-0.376121118,1,1
35735,1.01E+35,5022,0.42164875,0.221836739,0.6,0.8
35736,1.01E+35,6726,0.144740609,-0.419386481,0.8,0.7
35740,1.01E+35,8312,0.096910013,-0.36985034,0.8,0.8
35759,1.01E+35,9896,0.5117191,-0.207920506,0.4,0.8
35764,1.01E+35,9590,0.244426188,-0.530623813,0.8,1
35767,1.01E+35,3162,0.571026258,-0.275023292,0.4,1
35768,1.01E+35,9560,0.151108666,-0.349065191,1,0.9
35773,1.01E+35,9538,0.18763932,-0.5869596,1,0.6
35780,1.01E+35,5656,0.058727939,-0.483824625,1,0.8
35782,1.01E+35,9450,0.566527747,-0.292766505,0.4,1
35788,1.01E+35,7634,0.144771525,-0.594611494,1,1
35808,1.00E+33,3930,0.152028915,-0.264080619,0.8,0.9
35845,1.01E+35,3078,0.536216632,-0.207920506,0.4,1
35849,1.01E+35,7762,0.38527289,-0.451840809,0.6,1
35859,1.01E+35,5152,0.156373828,-0.283933864,0.8,0.8
35869,1.01E+35,3036,0.484048932,-0.101793728,0.4,0.8
35875,1.01E+35,9558,0.467371649,-0.212230557,0.4,1
35884,1.01E+35,3480,0.518894603,0.035226898,0.6,0.9
35892,1.01E+35,3460,0.553427074,-0.205078844,0.4,1
35895,1.00E+33,5748,0.393236696,-0.069544332,0.6,0.8
35896,1.01E+35,3074,0.506853936,-0.203557136,0.4,0.9
35898,1.01E+35,9860,0.412868264,-0.481336799,0.6,0.8
35907,1.01E+35,4634,0.131949584,-0.330873501,0.8,0.5
35908,1.01E+35,9118,0.216733592,-0.527102228,0.8,1
35922,1.11E+35,7652,0.493579768,-0.280434244,0.4,0.9
35931,1.01E+35,4126,0.28824808,-0.599108517,0.8,1
35937,1.01E+35,3024,0.119276467,-0.615095973,1,1
35940,1.01E+35,6224,0.279899621,-0.31366684,0.6,1
35942,1.01E+35,8862,0.156457886,-0.536578019,1,0.9
35954,1.01E+35,3912,0.075276993,-0.545697174,1,0.8
35964,1.00E+35,7254,0.505463051,-0.135437743,0.4,1
35966,1.01E+35,4294,0.158578644,-0.499869938,1,0.6
35981,1.01E+35,5864,0.232820643,-0.275610778,0.6,1
35982,1.01E+35,3008,0.427871254,-0.059306156,0.4,0.9
35990,1.00E+35,9322,0.296710013,0.096895379,0.8,0.5
36012,1.11E+35,9094,0.464584269,-0.156067928,0.4,0.8
36021,1.11E+35,9264,0.481937009,-0.249228213,0.4,1
36024,1.01E+35,3524,0.296910013,-0.553509927,0.8,1
36027,1.11E+35,8244,0.552921604,-0.126558025,0.4,0.7
36029,1.01E+35,3766,0.510300688,-0.11295001,0.4,0.7
36030,1.01E+35,4132,0.491619701,-0.250793143,0.4,1
36038,1.01E+35,7482,0.1998,-1.59E-05,1,0.7
36047,1.01E+35,9796,4.44E-17,-0.28257696,1,0.6
36049,1.01E+35,9090,0.232820643,-0.275610778,0.6,1
36057,1.01E+35,1832,0.175625028,-0.69601853,1,1
36058,1.00E+35,1698,0.42164875,0.221837776,0.6,0.9
36068,1.11E+33,1654,0.172762891,-0.407875924,1,0.8
36072,1.01E+35,1872,0.05896564,-0.560339879,1,1
36073,1.01E+35,2860,0,-0.423824823,1,0.9
36074,1.01E+35,6890,0.42164875,0.221838099,0.6,0.7
36076,1.01E+33,1720,0.384316002,-0.151146772,0.6,1
36085,1.00E+35,1590,0.597740009,0.397929227,0.4,1
36086,1.01E+35,2204,0.22184875,-0.209295319,0.6,0.9
36092,1.00E+35,6198,0.404754012,0.155133733,0.4,1
36093,1.01E+35,1598,0.175160035,-0.646486232,1,1
36095,1.01E+35,5316,0.182598407,-0.660354635,1,1
36099,1.00E+35,7572,0.341125217,-0.323138655,0.6,1
36101,1.01E+35,2652,0.164506187,-0.670483001,1,1
36104,1.01E+35,1826,0.078205079,-0.542318159,1,0.7
36111,1.01E+35,1584,0.214100333,-0.460566459,0.8,1
36112,1.01E+35,1904,0.245666117,-0.464870794,0.8,1
36113,1.01E+35,4034,0.126434262,-0.5026819,1,1
36117,1.01E+35,1890,0.451029767,-0.133546566,0.4,1
36118,1.11E+33,1714,0.129242654,-0.363793471,1,0.8
36121,1.01E+35,2592,0.018767264,-0.397304375,1,1
36132,1.01E+35,1800,0.342563663,-0.071247399,0.6,0.8
36135,1.01E+35,2490,0.529950103,-0.188873117,0.4,1
36137,1.01E+35,5482,0.134721348,-0.371397786,0.8,1
36139,1.01E+35,2894,0.391229335,-0.451395704,0.6,1
36140,1.00E+35,6652,0.154493188,-0.617588472,1,1
36142,1.01E+35,3050,0.06059794,-0.545246247,1,1
36144,1.01E+35,1658,0.175860976,-0.622279737,1,1
36150,1.11E+35,1820,0.411226388,-0.546299444,0.6,0.8
36153,1.01E+35,2192,0.119465908,-0.398748451,0.8,0.9
36156,1.01E+35,1790,0.179068806,-0.613451664,1,1
36157,1.00E+35,8082,0.513826905,-0.132494849,0.4,1
36158,1.01E+35,9772,0.175502468,-0.6794007,1,1
36160,1.01E+35,8928,0.34921695,-0.346971301,0.6,0.9
36163,1.01E+35,2134,0.175204634,-0.468964134,0.8,1
36170,1.01E+35,6720,0.232660088,-0.35385917,0.8,0.8
36174,1.01E+35,3166,0.192538471,-0.750814951,1,0.8
36175,1.01E+35,1954,0.2,-0.658596149,1,0.8
36178,1.00E+33,4728,0.246498037,-0.216035657,0.8,1
36182,1.01E+35,9312,0.233483514,-0.396474473,0.8,1
36188,1.01E+35,1912,0.079873735,-0.576333774,1,1
36201,1.01E+35,2926,0.028792228,-0.443713228,1,1
36206,1.01E+35,3526,0.244480114,-0.516289552,0.8,1
36210,1.01E+35,1738,0.175910007,-0.450397024,0.8,1
36219,1.01E+35,2136,0.154539303,-0.61612959,1,1
36220,1.01E+35,3498,0.262231039,-0.258639394,0.6,1
36221,1.01E+35,2020,0.449057846,-0.048386996,0.4,1
36222,1.01E+35,1972,0.08936779,-0.274248481,1,1
36223,1.01E+35,2402,0.446944339,-0.157128214,0.4,1
36226,1.01E+35,1770,0.154596896,-0.590477067,1,1
36235,1.01E+35,5046,0.148491303,-0.427514686,1,0.7
36248,1.01E+35,2542,0.50625833,-0.220787419,0.4,1
36257,1.01E+35,2086,0.018767264,-0.439043363,1,0.6
36266,1.01E+35,7720,0.249370694,-0.553509927,0.8,1
36268,1.01E+35,1816,0.446584819,-0.102718507,0.4,1
36275,1.01E+35,1508,0.2,-0.738542338,1,0.8
36276,1.01E+35,6648,0.470603951,-0.190525322,0.4,0.9
36279,1.00E+33,7562,0.229855634,-0.064868823,0.6,1
36282,1.01E+35,6396,0.591852336,-0.406462538,0.4,0.8
36284,1.01E+35,3626,0.118856869,-0.527613641,1,1
36286,1.01E+33,1962,0.056948231,-0.304068877,1,0.8
36301,1.01E+35,1914,0.141421356,-0.376914401,1,0.7
36305,1.01E+35,1978,0.153100424,-0.362562925,0.8,1
36306,1.01E+35,2440,0.042265065,-0.508324635,1,0.8
36308,1.01E+35,1856,0.300541266,-0.170199068,0.6,0.9
36319,1.01E+35,9626,0.167433603,-0.281985734,0.8,1
36320,1.01E+35,2002,0.195558075,-0.532926954,0.8,0.8
36335,1.01E+35,2362,8.88E-17,-0.434585956,1,1
36338,1.01E+35,6498,0.203316687,-0.360518145,0.8,1
36342,1.01E+35,2168,0.180295263,-0.419409925,0.8,0.8
36346,1.01E+33,1688,0.597740009,0.397927767,0.4,0.5
36355,1.01E+35,1946,0.511251347,0.06904811,0.4,1
36356,1.00E+35,6464,0.18069971,-0.620495501,1,1
36362,1.01E+35,3612,0,-0.4681749,1,0.8
36363,1.01E+35,3432,0.259753663,-0.27745911,0.6,1
36379,1.01E+35,2744,0.096910013,-0.337675943,0.8,1
36382,1.01E+35,2586,0.047830596,-0.499391178,1,0.7
36384,1.01E+35,1906,0.140313382,-0.324037783,1,0.9
36385,1.01E+35,1824,0.53877481,-0.2029433,0.4,1
36387,1.01E+35,1756,0.319799174,-0.366186947,0.6,1
36391,1.01E+35,1698,0.553646706,-0.192812073,0.4,1
36394,1.01E+35,2724,0.068168797,-0.534205769,1,1
36396,1.01E+35,4054,0.443519374,-0.133139927,0.4,1
36397,1.01E+35,2146,0.244404645,-0.273809714,0.6,0.9
36400,1.01E+35,2298,0.152656105,-0.500061962,1,1
36409,1.01E+35,6856,0.147815083,-0.545673659,1,1
36411,1.01E+35,3180,0.480952052,-0.197467709,0.4,1
36415,1.01E+35,1682,0.502484707,-0.226261786,0.4,0.9
36417,1.01E+35,6332,0.241450662,-0.489684938,0.8,1
36419,1.01E+35,1814,0.19239713,-0.496674042,0.8,1
36421,1.01E+35,5158,0.11749969,-0.399481635,0.8,1
36422,1.01E+35,1728,0.415761077,-0.582553797,0.6,0.8
36435,1.01E+35,5254,0.246435618,-0.514575755,0.8,1
36445,1.01E+35,1944,0.154466556,-0.627166532,1,1
