,Full Design,NFE,TargetRatioObjective,StiffnessObjective,FeasibilityScore,StabilityScore
451,1.11E+35,491,0.104877363,-0.694729707,0.6,0.8
453,1.01E+35,471,0.072729642,-0.577981286,0.8,1
455,1.00E+33,0,0.1998,-1.48E-05,0.6,0.9
463,1.00E+35,187,0.069660099,-0.483933241,0.4,1
466,1.11E+35,539,4.44E-17,-0.431679787,0.8,0.8
468,1.01E+35,833,0.048419093,-0.630526062,0.4,0.8
470,1.00E+35,0,0.1998,-1.40E-05,0.6,0.7
473,1.11E+35,1318,0.048419093,-0.630526062,0.4,0.8
474,1.00E+11,0,0.1998,-0.00010592,1,1.11E-16
479,1.11E+35,552,0.104877363,-0.694729707,0.4,0.8
484,1.01E+35,2930,0.034850475,-0.609043185,0.8,0.9
486,1.00E+35,0,0.1998,-1.59E-05,0.6,0.3
499,1.01E+35,1019,0,-0.532134244,0.4,0.8
501,1.10E+34,642,6.66E-17,-0.431679787,0.8,0.8
507,1.00E+34,0,0.1998,-1.49E-05,0.6,0.4
511,1.00E+35,0,0.1998,-1.46E-05,0.4,0.7
513,1.00E+26,0,0.1998,-1.58E-05,0.6,0.6
515,1.10E+33,0,0.1998,-1.91E-05,0.6,0.5
524,1.01E+34,0,0.1998,-1.46E-05,0.4,0.6
525,1.01E+35,517,0.11279208,-0.704352911,0.6,0.8
533,1.00E+26,0,0.1998,-1.61E-05,0.8,0.7
535,1.01E+35,309,0.113709537,-0.632057022,0.4,0.9
542,1.01E+35,1186,0,-0.549128145,1,0.8
550,1.01E+35,336,0.023557645,-0.445039155,0.4,0.8
554,1.01E+35,494,4.44E-17,-0.532134244,0.4,0.8
563,1.11E+35,322,0.104877363,-0.694729707,0.4,0.8
564,1.01E+35,448,0.039762159,-0.504454864,1,1
567,1.01E+35,583,0.010971894,-0.497459528,0.6,1
568,1.00E+22,0,0.1998,-2.02E-05,0.6,0.2
581,1.01E+35,450,0.179332682,-0.782572373,0.6,0.8
589,1.01E+35,842,0,-0.490620219,0.4,1
591,1.00E+35,0,0.6,-0.038167825,0.6,0.5
595,1.01E+29,0,0,-0.184466026,0.8,0.8
596,1.01E+35,3166,0,-0.542986425,0.4,0.6
597,1.00E+35,120,0.167712624,-0.65546779,1,1
600,1.01E+35,814,0.048419093,-0.630526062,0.4,0.8
602,1.00E+32,0,4.22E-16,-0.07763954,0.4,0.5
603,1.00E+35,0,0.158594001,-0.576280329,1,0.9
605,1.01E+35,907,2.22E-17,-0.549128145,1,0.8
612,1.00E+31,0,0.1998,-1.61E-05,0.6,0.5
613,1.10E+31,0,0.1998,-1.52E-05,0.4,0.7
621,1.00E+29,0,0.1998,-2.65E-05,0.8,0.1
622,1.00E+32,0,8.88E-17,-0.105397001,0.4,0.7
630,1.00E+35,125,0.158594001,-0.488059494,1,1
632,1.10E+27,0,0.162883209,-0.505725916,0.6,0.6
647,1.01E+35,920,0.048419093,-0.630526062,0.4,0.8
650,1.01E+35,813,0.035158291,-0.58109464,0.8,1
651,1.00E+35,106,0.13212291,-0.444324049,0.6,1
